"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"43","DS","WC","Spawn","RI",17,12,333,0.201,0.091,0.301,0.032,0.406,0.235,0.059,0.325,0,0.731,44.415,39.599,53.064,28.028,54.863,31.425,23.185,39.82,10.748,52.128,4.956,4.553,5.824,3.367,5.995,4.861,4.002,6,2.994,6,0.311,0.14,0.436,0.057,0.623,0.311,0.1,0.472,0,0.77,0.736,0.553,1,0.064,1,0.698,0.001,1,0,1
"44","DS","WC","Spawn","PO",9,6,279,0.11,0.068,0.136,0.032,0.209,0.03,0,0.029,0,0.151,87.821,72.818,98.842,56.79,124.426,86.327,47.799,130.811,23.374,151,5.094,4.641,5.846,3.8,5.969,4.554,2.998,6.2,1,7,0.351,0.225,0.477,0.103,0.599,0.174,0,0.283,0,0.689,0.832,0.832,1,0.43,1,0.468,0,1,0,1
"45","DS","WC","Spawn","RU",5,5,61,0.13,0.1,0.159,0.079,0.184,0.137,0.04,0.179,0.001,0.331,60.015,55.146,63.423,53.589,68.487,36.493,28.749,47.318,9.49,58.945,4.607,4.411,5,3.94,5,4.497,3.041,5.63,2.276,6,0.258,0.13,0.36,0.07,0.484,0.216,0.011,0.315,0,0.738,0.798,0.696,1,0.454,1,0.786,0.9,1,0,1
"46","DS","WC","NonSpawn","RI",13,7,409,0.343,0.125,0.368,0.063,0.854,0.254,0.062,0.337,0,0.837,43.782,34.952,52.667,29.103,58.502,35.908,26.252,44.072,15.13,59.525,5.117,4.714,5.801,3.951,5.95,4.688,4,5.578,2.997,6,0.405,0.165,0.592,0.077,0.81,0.229,0.072,0.365,0,0.632,0.931,1,1,0.723,1,0.74,0.25,1,0,1
"47","DS","WC","NonSpawn","PO",21,13,238,0.045,0,0.083,0,0.137,0.037,0,0.038,0,0.177,112.069,77.312,150.698,47.697,151,93.443,57.602,150.979,33.085,151,4.047,2.934,5.324,1.985,5.894,3.697,1,5.83,1,7,0.096,0,0.122,0,0.368,0.101,0,0.193,0,0.402,0.973,0.994,1,0.891,1,0.465,0,1,0,1
"48","DS","WC","NonSpawn","RU",7,6,64,0.086,0.042,0.114,0.017,0.177,0.166,0.055,0.222,0,0.502,92.752,66.567,112.071,59.682,135.434,61.665,47.122,74.437,35.646,89.325,4.5,3.616,5.185,3.177,6.102,4.297,3.011,5.17,1.371,6,0.18,0.035,0.258,0.01,0.442,0.184,0.001,0.317,0,0.497,0.583,0.307,0.926,0.088,0.985,0.745,0.499,1,0,1
"49","BB","WB","High","RI",4,4,104,0.17,0.054,0.244,0.029,0.371,0.39,0.147,0.561,0.004,1.104,26.01,20.756,29.512,19.357,35.118,31.294,24.005,40.284,13.111,49.109,4.252,3.878,4.752,3.377,4.95,5.303,5,6,4.028,6.371,0.263,0.188,0.319,0.158,0.394,0.31,0.102,0.485,0,0.842,0.501,0.252,0.752,0.05,0.95,0.677,0.008,1,0,1
"50","BB","WB","High","PO",16,13,121,0.065,0,0.125,0,0.206,0.039,0,0.056,0,0.181,99.032,61.107,144.337,50.816,150.816,85.421,42.639,150.428,21.35,151,4.422,3.358,5.854,1.818,5.99,3.954,2.622,5,1.05,6.994,0.099,0,0.151,0,0.322,0.041,0,0.009,0,0.209,0.808,0.856,1,0.177,1,0.692,0.023,1,0,1
"51","BB","WB","High","RU",9,8,88,0.193,0.081,0.269,0.029,0.42,0.196,0.045,0.279,0,0.567,52.056,43.899,57.81,35.422,70.393,42.834,30.294,51.217,15.56,76.034,4.94,4.24,5.61,3.47,6.568,4.785,4.004,5.026,2.96,6.978,0.072,0.005,0.124,0,0.179,0.103,0,0.147,0,0.459,0.812,0.804,1,0.287,1,0.494,0,1,0,1
"52","BB","WB","Low","RI",13,11,296,0.143,0.039,0.217,0.008,0.385,0.185,0.032,0.291,0,0.56,32.806,26.753,40.204,20.406,43.432,24.408,16.027,30.522,8.117,47.773,5.06,4.956,5.129,4.415,5.795,4.972,4.001,5.963,3.79,6.372,0.109,0,0.145,0,0.397,0.193,0,0.301,0,0.6,0.436,0,0.915,0,0.997,0.642,0,1,0,1
"53","BB","WB","Low","PO",54,22,353,0.025,0,0.041,0,0.078,0.025,0,0.04,0,0.094,77.48,52.914,93.405,35.259,143.74,71.721,36.402,98.477,20.003,151,4.323,3.57,5.296,1.319,6.382,4.347,3.266,5.789,1,7,0.161,0,0.279,0,0.549,0.08,0,0.1,0,0.402,0.7,0.35,1,0.004,1,0.622,0,1,0,1
"54","BB","WB","Low","RU",13,10,83,0.053,0.009,0.058,0.002,0.168,0.113,0.022,0.139,0,0.314,53.052,44.724,62.13,34.628,68.308,45.269,27.344,59.909,13.465,84.075,5.147,4.94,5.551,4.305,5.938,5.272,4.997,6.082,2.528,7,0.167,0.023,0.249,0.002,0.441,0.114,0,0.181,0,0.429,0.724,0.524,1,0.094,1,0.456,0,1,0,1
