,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
118,NA,55,Wet Beaver,3/14/2022 0:00,Available,13.75,Pool,NA,54,0.21,Gravel,Yes,-111.672325,34.674492,NA,NA,-111.672376,34.6745137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,96,Wet Beaver,3/14/2022 0:00,Available,6.65,Riffle,NA,42,1.15,Boulder,No,-111.669917,34.67386,NA,NA,-111.6698535,34.6738226,NA,0.4,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,97,Wet Beaver,3/14/2022 0:00,Available,10.35,Riffle,NA,25,0.92,Pebble,Yes,-111.669842,34.673843,NA,NA,-111.6698617,34.6738684,NA,0.15,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,58,Wet Beaver,3/14/2022 0:00,Available,NA,Pool,NA,>150,NA,NA,Yes,-111.67225,34.674302,NA,NA,-111.6721745,34.6743769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,59,Wet Beaver,3/14/2022 0:00,Available,NA,Pool,NA,>150,NA,NA,No,-111.672192,34.674273,NA,NA,-111.6721501,34.6743165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,60,Wet Beaver,3/14/2022 0:00,Available,17.74,Pool,NA,>150,NA,Silt,Yes,-111.672123,34.674237,NA,NA,-111.67209,34.6742297,Changed all Silt/Clay to Silt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,141,Wet Beaver,3/14/2022 0:00,Available,13.12,Pool,NA,120,0,Silt,Yes,-111.667807,34.672473,NA,NA,-111.6677464,34.6725839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,102,Wet Beaver,3/14/2022 0:00,Available,15.75,Riffle,NA,50,0.32,Cobble,Yes,-111.669582,34.673668,NA,NA,-111.6696088,34.6737178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,63,Wet Beaver,3/14/2022 0:00,Available,16.99,Pool,NA,>150,NA,Silt,Yes,-111.672133,34.674163,NA,NA,-111.672035,34.6741836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,64,Wet Beaver,3/14/2022 0:00,Available,13.99,Pool,NA,19,0.07,Cobble,No,-111.672052,34.674147,NA,NA,-111.6719998,34.6741605,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,65,Wet Beaver,3/14/2022 0:00,Available,13.83,Pool,NA,26,0.02,Cobble,No,-111.67205,34.67414,NA,NA,-111.6719389,34.6741641,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NA,106,Wet Beaver,3/14/2022 0:00,Available,12.4,Pool,NA,75,0.11,Pebble,Yes,-111.669392,34.673553,NA,NA,-111.6694172,34.6736093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,107,Wet Beaver,3/14/2022 0:00,Available,14.1,Pool,NA,>150,NA,Gravel,Yes,-111.669292,34.673538,NA,NA,-111.6693137,34.6735961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,NA,108,Wet Beaver,3/14/2022 0:00,Available,13.65,Pool,NA,105,0,Silt,Yes,-111.669268,34.673478,NA,NA,-111.6692654,34.6735571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,69,Wet Beaver,3/14/2022 0:00,Available,9.2,Riffle,NA,53,0.25,Pebble,Yes,-111.671583,34.674165,NA,NA,-111.671743,34.6741442,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,70,Wet Beaver,3/14/2022 0:00,Available,8.7,Riffle,NA,40,0.04,Boulder,Yes,-111.674072,34.671627,NA,NA,-111.6716723,34.6741302,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,NA,71,Wet Beaver,3/14/2022 0:00,Available,9.28,Riffle,NA,51,0.02,Cobble,No,-111.671587,34.674077,NA,NA,-111.6715688,34.6740977,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,NA,72,Wet Beaver,3/14/2022 0:00,Available,9.57,Riffle,NA,55,0.18,Cobble,Yes,-111.671403,34.673998,NA,NA,-111.6715547,34.6741137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,NA,113,Wet Beaver,3/14/2022 0:00,Available,10,Riffle,NA,27,0.09,Boulder,No,-111.669132,34.673368,NA,NA,-111.6691655,34.67343,NA,0.4,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,NA,114,Wet Beaver,3/14/2022 0:00,Available,9.76,Pool,NA,44,0.22,Boulder,No,-111.669063,34.673345,NA,NA,-111.669072,34.6733955,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,75,Wet Beaver,3/14/2022 0:00,Available,6.7,Riffle,NA,32,1.34,Boulder,Yes,-111.67128,34.674072,NA,NA,-111.6713814,34.6740625,NA,0.3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,76,Wet Beaver,3/14/2022 0:00,Available,8.1,Riffle,NA,27,0.21,Cobble,Yes,-111.671292,34.673978,NA,NA,-111.6713355,34.6740675,NA,0.5,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,77,Wet Beaver,3/14/2022 0:00,Available,9.1,Riffle,NA,44,0.31,Cobble,Yes,-111.671258,34.674018,NA,NA,-111.6713028,34.6740069,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,118,Wet Beaver,3/14/2022 0:00,Available,8.1,Riffle,NA,50,54,Cobble,No,-111.668898,34.67323,NA,NA,-111.668917,34.6732603,NA,0.15,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,79,Wet Beaver,3/14/2022 0:00,Available,14.4,Riffle,NA,30,0.07,Bedrock,Yes,-111.67111,34.674028,NA,NA,-111.6711553,34.6740371,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,80,Wet Beaver,3/14/2022 0:00,Available,17.4,Riffle,NA,36,1.38,Boulder,Yes,-111.671063,34.673937,NA,NA,-111.671027,34.6740188,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,81,Wet Beaver,3/14/2022 0:00,Available,15.01,Riffle,NA,34,0.38,Pebble,Yes,-111.670953,34.67404,NA,NA,-111.6709576,34.674016,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,122,Wet Beaver,3/14/2022 0:00,Available,12.39,Riffle,NA,36,0.27,Boulder,No,-111.66866,34.673038,NA,NA,-111.6686967,34.6730512,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,83,Wet Beaver,3/14/2022 0:00,Available,15.63,Pool,NA,>150,NA,Sand,Yes,-111.670837,34.673968,NA,NA,-111.6707692,34.6740724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,85,Wet Beaver,3/14/2022 0:00,Available,15.5,Pool,NA,>150,NA,Sand,Yes,-111.670673,34.674037,NA,NA,-111.6707025,34.6740754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,NA,86,Wet Beaver,3/14/2022 0:00,Available,15.5,Pool,NA,>150,NA,Sand,Yes,-111.670573,34.674073,NA,NA,-111.6706207,34.6740899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,NA,87,Wet Beaver,3/14/2022 0:00,Available,15.5,Pool,NA,>150,NA,Sand,Yes,-111.670563,34.674068,NA,NA,-111.6705282,34.6740553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,88,Wet Beaver,3/14/2022 0:00,Available,16.56,Pool,NA,>150,NA,Sand,No,-111.670542,34.674057,NA,NA,-111.670474,34.6740208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,NA,129,Wet Beaver,3/14/2022 0:00,Available,11.87,Pool,NA,43,0,Pebble,Yes,-111.668278,34.672873,NA,NA,-111.6682818,34.6728979,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
